word,DF,IDF,Mean_TF,Mean_TF-IDF
business,5,7.442943495848729,0.005747126436781609,0.0015210208496538738
always,5,7.442943495848729,0.005747126436781609,0.0015194899983462934
cool,4,7.764871590736091,0.004597701149425287,0.001518769894881248
americans,4,7.764871590736091,0.004597701149425287,0.0015152609381066898
health,5,7.442943495848729,0.005747126436781609,0.0015119698140338093
poroshenko,5,7.442943495848729,0.005747126436781609,0.0015118039991800425
obamas,4,7.764871590736091,0.004597701149425287,0.0015107377595203724
fuck,3,8.179909090014934,0.0034482758620689655,0.00151072196276631
took,5,7.442943495848729,0.005747126436781609,0.0015099523150843368
fat,3,8.179909090014934,0.005747126436781609,0.0015068886516925097
wants,5,7.442943495848729,0.005747126436781609,0.0015067070791842125
books,3,8.179909090014934,0.0034482758620689655,0.0015065553713594475
rights,5,7.442943495848729,0.005747126436781609,0.0015060615949398681
calls,5,7.442943495848729,0.005747126436781609,0.0014996693507059952
michael,5,7.442943495848729,0.005747126436781609,0.0014994998076688013
land,5,7.442943495848729,0.005747126436781609,0.0014980912000297426
nodapl,4,7.764871590736091,0.004597701149425287,0.001494731026237875
uk,4,7.764871590736091,0.006896551724137931,0.0014924704609421359
gets,4,7.764871590736091,0.005747126436781609,0.0014881065599519603
image,5,7.442943495848729,0.005747126436781609,0.001485815453619827
team,5,7.442943495848729,0.005747126436781609,0.0014836420548673664
th,5,7.442943495848729,0.005747126436781609,0.0014787327044308242
marriage,4,7.764871590736091,0.005747126436781609,0.0014762508225374562
attack,5,7.442943495848729,0.005747126436781609,0.0014755014725023523
place,5,7.442943495848729,0.005747126436781609,0.0014707277448093366
tcot,5,7.442943495848729,0.005747126436781609,0.001469471408733575
never,5,7.442943495848729,0.005747126436781609,0.0014614162176349588
down,5,7.442943495848729,0.005747126436781609,0.0014614088793391345
voting,5,7.442943495848729,0.005747126436781609,0.0014609062338308257
actually,5,7.442943495848729,0.005747126436781609,0.0014590592995746862
emily,4,7.764871590736091,0.005747126436781609,0.001458140434812623
saying,5,7.442943495848729,0.006896551724137931,0.0014547315856540957
awesome,5,7.442943495848729,0.005747126436781609,0.0014523329490642753
